路段ID,路段长度(m),所属连通分量,风险扩散分数,是否为案发点所在分量,风险扩散分数(全网排序)
555,120.3,2,9.185405541090962e-05,True,284
556,119.4,2,9.131883556898191e-05,True,285
976,474.9,2,9.044529624329582e-05,True,286
139,2987.4,2,8.982032417173533e-05,True,287
140,2967.4,2,8.982032417173533e-05,True,287
102,1220.6,2,8.774442905744499e-05,True,289
1037,42.7,2,8.515895238980463e-05,True,290
105,1641.3,2,7.709421980664546e-05,True,291
407,2027.4,2,7.337655924617478e-05,True,292
406,2027.5,2,7.337655700688269e-05,True,293
1030,340.1,2,7.127966353522738e-05,True,294
109,458.7,2,6.985924168465417e-05,True,295
802,69.6,2,6.799504598420431e-05,True,296
804,154.8,2,6.767397949063158e-05,True,297
308,393.9,2,6.339902992908233e-05,True,298
1153,201.6,71,6.313676681390858e-05,True,299
1114,163.3,2,6.245763272508102e-05,True,300
616,210.7,2,5.925077727414816e-05,True,301
665,417.7,2,5.462042497778202e-05,True,302
753,365.8,2,5.303754003959435e-05,True,303
563,348.5,2,5.131058864897266e-05,True,304
803,54.6,2,5.0677790976917187e-05,True,305
801,53.1,2,5.060219827205918e-05,True,306
125,475.5,2,4.8817611078905126e-05,True,307
1031,1055.8,2,4.756216908838701e-05,True,308
1115,53.3,2,4.670859727745398e-05,True,309
1117,51.6,2,4.60514178933092e-05,True,310
557,211.8,2,4.542454314266806e-05,True,311
554,218.9,2,4.51665932004126e-05,True,312
504,436.7,2,4.4786234149986924e-05,True,313
678,179.4,2,4.4721265683224594e-05,True,314
1205,115.2,2,4.356554038899496e-05,True,315
1206,119.4,2,4.347871117293083e-05,True,316
56,415.1,2,4.319167462796527e-05,True,317
55,412.3,2,4.306612725273455e-05,True,318
1050,120.1,2,4.234478548478375e-05,True,319
1052,124.2,2,4.220501999268803e-05,True,320
588,1853.1,2,3.973632291615543e-05,True,321
603,358.3,2,3.818193100298643e-05,True,322
963,360.0,2,3.813455576203211e-05,True,323
974,142.3,2,3.726149418954962e-05,True,324
107,488.1,2,3.376018080578374e-05,True,325
755,3042.4,2,3.1457836416693644e-05,True,326
754,3034.0,2,3.1457836416693644e-05,True,326
99,230.4,2,3.122149390158791e-05,True,328
663,683.2,2,3.08254431660684e-05,True,329
72,365.2,2,3.057293731197325e-05,True,330
559,58.1,2,3.0432642142889155e-05,True,331
658,258.8,2,2.9292721676645726e-05,True,332
1209,164.4,2,2.9008196242004804e-05,True,333
1207,164.3,2,2.8988781201441657e-05,True,334
820,178.2,2,2.725460366652088e-05,True,335
1155,238.9,71,2.6621738439864528e-05,True,336
659,336.3,2,2.270982418970339e-05,True,337
1068,68.3,2,2.264238686282998e-05,True,338
1066,57.2,2,2.252458949006237e-05,True,339
1069,13.2,2,2.2263350134811722e-05,True,340
1067,13.2,2,2.212983217209382e-05,True,341
1036,640.9,2,2.1028127884123158e-05,True,342
95,802.2,2,1.9302709047713202e-05,True,343
973,226.1,2,1.8380397400311152e-05,True,344
702,1213.1,2,1.78408382655235e-05,True,345
964,162.8,2,1.7529441103746046e-05,True,346
604,163.2,2,1.751860361344799e-05,True,347
1023,723.3,2,1.7337848612862747e-05,True,348
1022,590.1,2,1.712871248132653e-05,True,349
103,116.9,2,1.6525930065288655e-05,True,350
562,52.7,2,1.6117706782327046e-05,True,351
558,108.9,2,1.597380743764074e-05,True,352
104,394.4,2,1.5954621227623573e-05,True,353
443,97.3,2,1.5925146076026967e-05,True,354
628,473.5,2,1.5240028280520629e-05,True,355
680,504.3,2,1.5230034685685107e-05,True,356
1049,1398.8,2,1.4205894511947797e-05,True,357
1051,1319.7,2,1.40866515928531e-05,True,358
120,610.6,2,1.3945667225738374e-05,True,359
668,1141.2,2,1.3815319059986856e-05,True,360
624,1139.4,2,1.380804493459237e-05,True,361
1156,239.9,71,1.3257387244092021e-05,True,362
124,1103.6,2,1.298779512502858e-05,True,363
551,148.7,2,1.2805284578264435e-05,True,364
561,250.4,2,1.2638142645372416e-05,True,365
144,2965.9,2,1.2273406445333225e-05,True,366
377,2727.6,2,1.2238202353439749e-05,True,367
376,2741.6,2,1.2238202353439749e-05,True,367
98,700.1,2,1.1969258399526928e-05,True,369
97,734.1,2,1.18606693972641e-05,True,370
1017,146.8,2,1.1508448753121289e-05,True,371
757,73.3,2,1.1232656619940097e-05,True,372
756,65.2,2,1.1232656619940097e-05,True,372
127,4311.9,2,1.1145799423965647e-05,True,374
631,1497.1,2,1.1082910095235905e-05,True,375
94,768.0,2,1.0731333832328859e-05,True,376
130,294.4,2,9.18415878930939e-06,True,377
1208,292.5,2,9.177898085282635e-06,True,378
108,485.1,2,9.061402716802546e-06,True,379
657,547.9,2,8.548502823525398e-06,True,380
